Category,Emotion,Idea
"vacation, adventure, drinks","freedom, happiness, excitement",Beers in jungle rivers
"condiments, food","taste, funny, ironic",Seasonings on radio standby
"adventure, environment, nature","provocative, interesting, calming",Furnaces built within redwood trees
"sports goods, fashion, creative","hardcore, durability, grit",Leather skatebaords
"automotive, cars, mechanic","Frustration, helpless",Waterlogged tyres
"adventure, nature, art","calming, excitement, freedom, bright",fields of donkeys and fireflies
"nature, whether forces, insurance","ironic, funny, shocking",lightning that whispers to us
"mindset, art, creativity","fear, provocative, perspective",monsters disguised as enemys
"mindset, art, medical","ironic, funny, sad",performing surgery on broken hearts
"health, transport, fuel","funny, ironic",fuelling jet engines with white bread
"cars, art","ironic, funny, interesting",luxury cars made of jelly
"music, sales, history","funny, ironic",ancient merchants selling dj speakers
"food, cooking","funny, ironic",recipe's protected by presidential bodyguards
"Mindset, positivity, mental health","interesting, provocative",Stair way leading to carpe diem. (living in the moment)
Any,"amazing, beautiful",Painting clouds into symbols
"eyes, art, mindset","interesting, funny",colourful stone walls impersonating doorways
"dance, activities, youth","sad, provocative, inspiring",ballet shoes covered in cobwebs
"nature, housing","Claustrophobic, scared",prison escape from a sea shell
"Any, education, art","uplifting, hope, wisdom",Puppets becoming the masters
"Art, religious, nature","ironic, funny, sisyphus",Axe hacking at the sea
"Any, mindset","interesting, hope, uplifting",Faulty anchors tied to ones dreams/goals
"cleaning, household, furniture","funny, icky, gross",Tiny snakes on dirty household surfaces
"Any, education, food","Funny, ironic",Cavemen learning from animal shows
"pets, skincare, haircare","funny, interesting",Shaved dogs getting sunburned
"adventure, travel, art","excitement, cute, inclusive",Baby footsteps on a deserted island
"music, business","inclusive, ironic, funny, enjoyable",CEO at a hardcore music festival
"environment, global warming, art","funny, provocative, interesting",Polar bear eating bamboo with pandas
"technology, religion","funny, ironic, provocative",iPhone with devil horns
"running, mental health","funny, ironic, ",Running from your own shadow
"running, mental health, insurance","funny, ironic, helpless",Paperman running from a storm
"farming, individuality, human","funny, ironic, provocative",Scarecrow that dislikes scaring birds
"business, adventure","funny, ironic",Mountain climber looking at crypto charts
"religion, decision making, gambling","ironic, truth-seeking, provocative",Devil and angel earrings
"racing, cars","strange, outerworldy",Karts on an upside-down track
"self care, art","strange, sad, interesting",Fingernails made of tin foil
nature,"sad, provocative, interesting",Barb wire-fenced beaches
"nature, hardware","Funny, ironic, wierd",Ducks covered in duct tape
"any, nature, games","funny, struggle, claustrophobic",Underwater mazes for crabs
"art, alien","weird, interesting",Top hats on spider knees
"materials, structure, buildings",interesting,Palm trees built with straw
"cleaning, household, furniture","frustration, annoyed",Bike tracks on tiled bathroom floors
"sport, art, beaches",interesting,Surfboard with a million fins
"art, sport, technology","interesting, funny",Ski poles speared through televisions
"exercise, comfort, health","calming, exciting",treadmills made of mattress material
"food, buildings","funny, icky",concrete dressed in oil and vinegar
"art, space, engineering, eating",interesting,rocketships with plastic cutlery
"gambling, games, art","fun, interesting",playing cards as flying saucers
"art, nature","strange, interesting",branchless trunks with floating leaves
"sport, pests, art","strange, intersting",exploding footballs with insects inside
"food, war, nutrition","funny, ironic",Brocolli as a grenade in war
